DripUnitID,FirstUnitID,TimeUnitID,PerKg,TS
1,6,5,0,
2,6,4,0,
3,6,5,1,
4,6,4,1,
5,10,4,0,
6,10,4,1,
7,11,4,0,
8,11,4,1,
10,10,5,0,
12,11,5,0,
17,10,5,1,
18,11,5,1,
24,8,4,0,
26,45,5,0,
27,6,100,1,
28,6,100,0,
29,6,103,1,
30,6,103,0,
39,8,4,1,
40,8,5,1,
41,8,5,0,
42,8,100,1,
43,8,100,0,
44,8,103,1,
45,8,103,0,
54,9,4,1,
55,9,4,0,
56,9,5,1,
57,9,5,0,
58,9,100,1,
59,9,100,0,
60,9,103,1,
61,9,103,0,
62,10,100,1,
63,10,100,0,
64,10,103,1,
65,10,103,0,
66,11,100,1,
67,11,100,0,
68,11,103,1,
69,11,103,0,
70,12,4,1,
71,12,4,0,
72,12,5,1,
73,12,5,0,
74,12,100,1,
75,12,100,0,
76,12,103,1,
77,12,103,0,
78,49,4,1,
79,49,4,0,
80,49,5,1,
81,49,5,0,
82,49,100,1,
83,49,100,0,
84,49,103,1,
85,49,103,0,
86,50,4,1,
87,50,4,0,
88,50,5,1,
89,50,5,0,
90,50,100,1,
91,50,100,0,
92,50,103,1,
93,50,103,0,
94,51,4,1,
95,51,4,0,
96,51,5,1,
97,51,5,0,
98,51,100,1,
99,51,100,0,
100,51,103,1,
101,51,103,0,
102,52,4,1,
103,52,4,0,
104,52,5,1,
105,52,5,0,
106,52,100,1,
107,52,100,0,
108,52,103,1,
109,52,103,0,
110,104,4,1,
111,104,4,0,
112,104,5,1,
113,104,5,0,
114,104,100,1,
115,104,100,0,
116,104,103,1,
117,104,103,0,
118,105,4,1,
119,105,4,0,
120,105,5,1,
121,105,5,0,
122,105,100,1,
123,105,100,0,
124,105,103,1,
125,105,103,0,
126,59,4,1,
127,59,4,0,
128,59,5,1,
129,59,5,0,
130,59,100,1,
131,59,100,0,
132,59,103,1,
133,59,103,0,
134,60,4,1,
135,60,4,0,
136,60,5,1,
137,60,5,0,
138,60,100,1,
139,60,100,0,
140,60,103,1,
141,60,103,0,
142,61,4,1,
143,61,4,0,
144,61,5,1,
145,61,5,0,
146,61,100,1,
147,61,100,0,
148,61,103,1,
149,61,103,0,
150,62,4,1,
151,62,4,0,
152,62,5,1,
153,62,5,0,
154,62,100,1,
155,62,100,0,
156,62,103,1,
157,62,103,0,
158,63,4,1,
159,63,4,0,
160,63,5,1,
161,63,5,0,
162,63,100,1,
163,63,100,0,
164,63,103,1,
165,63,103,0,
166,64,4,1,
167,64,4,0,
168,64,5,1,
169,64,5,0,
170,64,100,1,
171,64,100,0,
172,64,103,1,
173,64,103,0,
174,65,4,1,
175,65,4,0,
176,65,5,1,
177,65,5,0,
178,65,100,1,
179,65,100,0,
180,65,103,1,
181,65,103,0,
182,66,4,1,
183,66,4,0,
184,66,5,1,
185,66,5,0,
186,66,100,1,
187,66,100,0,
188,66,103,1,
189,66,103,0,
190,68,4,1,
191,68,4,0,
192,68,5,1,
193,68,5,0,
194,68,100,1,
195,68,100,0,
196,68,103,1,
197,68,103,0,
212,92,4,1,
213,92,4,0,
214,92,5,1,
215,92,5,0,
216,92,100,1,
217,92,100,0,
218,92,103,1,
219,92,103,0,
220,31,4,1,
221,31,4,0,
222,31,5,1,
223,31,5,0,
224,31,100,1,
225,31,100,0,
226,31,103,1,
227,31,103,0,
228,93,4,1,
229,93,4,0,
230,93,5,1,
231,93,5,0,
232,93,100,1,
233,93,100,0,
234,93,103,1,
235,93,103,0,
236,94,4,1,
237,94,4,0,
238,94,5,1,
239,94,5,0,
240,94,100,1,
241,94,100,0,
242,94,103,1,
243,94,103,0,
244,96,4,1,
245,96,4,0,
246,96,5,1,
247,96,5,0,
248,96,100,1,
249,96,100,0,
250,96,103,1,
251,96,103,0,
252,97,4,1,
253,97,4,0,
254,97,5,1,
255,97,5,0,
256,97,100,1,
257,97,100,0,
258,97,103,1,
259,97,103,0,
260,98,4,1,
261,98,4,0,
262,98,5,1,
263,98,5,0,
264,98,100,1,
265,98,100,0,
266,98,103,1,
267,98,103,0,
268,99,4,1,
269,99,4,0,
270,99,5,1,
271,99,5,0,
272,99,100,1,
273,99,100,0,
274,99,103,1,
275,99,103,0,
284,17,4,1,
285,17,4,0,
286,17,5,1,
287,17,5,0,
288,17,100,1,
289,17,100,0,
290,17,103,1,
291,17,103,0,
308,24,4,1,
309,24,4,0,
310,24,5,1,
311,24,5,0,
312,24,100,1,
313,24,100,0,
314,24,103,1,
315,24,103,0,
316,46,4,1,
317,46,4,0,
318,46,5,1,
319,46,5,0,
320,46,100,1,
321,46,100,0,
322,46,103,1,
323,46,103,0,
324,166,5,0,
325,178,5,0,
326,180,5,0,
327,180,4,0,
328,180,100,0,
329,181,100,0,
330,181,5,0,
332,180,100,1,
333,181,4,0,
334,180,4,1,
335,180,5,1,
336,181,100,1,
337,181,5,1,
338,181,4,1,
339,321,5,0,
340,258,4,1,
