ParameterID,CategoryID,ParameterName,Abbreviation,UnitID,FormatID
937,592,"Na-K-Fosfaatoplossing","Na-K-Fosfaatoplossing",94,12
938,637,"Autotransfusie","Autotransfusie",NaN,NaN
949,648,"ECC Isofluraan","ECC Isofluraan",0,18
952,648,"ECC Sevofluraan","ECC Sevofluraan",0,18
953,592,"Parecoxib (Dynastat)","Parecoxib (Dynastat)",10,11
954,592,"Propranolol (Inderal)","Propranolol (Inderal)",10,12
955,592,"Verapamil (Isoptin)","Verapamil (Isoptin)",10,12
956,592,"Metoprololtartraat (Selokeen)","Metoprololtartraat (Selokeen)",10,12
957,592,"Mivacurium (Mivacuron)","Mivacurium (Mivacuron)",10,13
960,592,"Neostigmine","Neostigmine",10,12
961,592,"Pancuronium (Pavulon)","Pancuronium (Pavulon)",10,12
962,592,"Terbutaline (Bricanyl)","Terbutaline (Bricanyl)",10,13
963,592,"Milrinon (Corotrope)","Milrinon (Corotrope)",10,13
964,592,"Fentolamine mesilaat (Regitine)","Fentolamine mesilaat (Regitine)",10,11
965,586,"ST- II","ST- II",51,12
966,586,"ST- I","ST- I",51,12
967,586,"ST- III","ST- III",51,12
978,603,"Galdrain totaal","Galdrain totaal",6,11
979,603,"Pleuradrain totaal","Pleuradrain totaal",6,11
980,814,"Drain spoelsysteem totaal.","Drain spoelsysteem totaal.",6,11
981,589,"Allergie","Allergie",0,NaN
982,659,"Gewicht gazen","Gewicht gazen",6,11
983,659,"Bloedverlies zuig","Bloedverlies zuig",6,11
984,638,"Cellsaver uit","Cellsaver uit",6,11
986,650,"Isofluraan fi","Isofluraan fi",0,10
987,650,"Sevofluraan fi","Sevofluraan fi",0,10
988,650,"Sevofluraan et","Sevofluraan et",0,10
989,650,"Isofluraan et","Isofluraan et",0,10
990,591,"BIS","BIS",0,11
991,591,"EMG","EMG",0,11
992,591,"SQI","SQI",0,11
993,591,"Supression rate","Supression rate",0,10
